user_id,R,F,M,recency,freq,monetary,segment
100116,5,5,5,7,12,3080.05,高价值
100117,3,3,3,51,7,1631.48,成长客户
100118,3,1,2,30,3,700.64,一般
100119,5,1,1,10,1,635.26,一般
100120,5,5,5,11,16,2788.44,高价值
100121,1,3,2,118,7,783.76,成长客户
100122,2,3,2,60,7,1108.58,成长客户
100123,2,5,4,64,11,2133.38,成长客户
100124,1,1,1,181,1,154.85,流失
100125,1,2,1,228,5,540.7,流失
100126,4,1,2,25,3,1205.06,一般
100127,2,3,3,67,7,1752.54,成长客户
100128,5,3,5,9,7,3162.63,保持关系
100129,5,5,5,10,15,3528.9900000000002,高价值
100130,1,2,1,164,5,543.52,流失
100131,5,5,3,2,11,1290.12,保持关系
100132,1,1,1,150,1,79.48,流失
100133,5,3,4,12,8,2534.7999999999997,保持关系
100135,3,5,5,44,15,3484.5,潜力客户
100136,4,4,3,13,10,1346.29,保持关系
100138,3,2,3,45,4,1394.76,成长客户
100139,5,4,4,5,10,2011.04,高价值
100140,4,2,3,27,5,1797.34,成长客户
100141,1,1,1,145,3,359.61,流失
100142,2,1,2,73,3,713.79,预流失
100143,5,2,2,5,5,668.73,一般
100144,3,1,2,33,3,751.61,一般
100145,2,5,5,66,12,3764.8700000000003,成长客户
100147,4,5,4,17,11,2525.12,高价值
100148,2,4,4,54,9,2558.76,成长客户
100149,1,4,4,131,9,2220.37,成长客户
100150,2,3,5,57,8,3301.79,成长客户
100151,2,2,3,99,4,1613.9099999999999,成长客户
100152,4,4,2,17,9,913.11,保持关系
100153,2,3,3,60,7,1430.21,成长客户
100154,5,5,5,5,15,3443.0499999999997,高价值
100155,1,2,4,138,6,2141.89,成长客户
100156,4,1,2,16,3,1197.88,一般
100157,3,2,1,50,4,535.71,一般
100158,1,1,1,230,3,382.33,流失
100159,5,5,5,1,19,4827.9800000000005,高价值
100160,3,4,5,49,9,4486.18,潜力客户
100161,3,5,5,53,12,5124.39,潜力客户
100162,3,5,5,30,11,2940.79,潜力客户
100163,1,2,2,208,5,719.96,流失
100164,4,5,4,15,12,2607.17,高价值
100166,3,1,1,35,2,528.62,一般
100167,1,4,4,176,10,2570.48,成长客户
100168,1,1,1,301,1,104.56,流失
100169,3,1,1,33,1,37.84,一般
100170,3,3,3,53,8,1814.61,成长客户
100171,1,2,2,104,6,983.9000000000001,流失
100172,3,4,5,53,9,3262.47,潜力客户
100173,5,5,5,1,14,3782.78,高价值
100174,2,4,4,54,9,2603.79,成长客户
100175,3,1,1,42,3,595.76,一般
100176,3,2,2,36,5,1088.4099999999999,一般
100177,3,2,1,42,4,526.05,一般
100178,4,5,4,14,11,2290.83,高价值
100179,1,1,1,202,3,215.39,流失
100180,2,3,2,79,8,1232.64,成长客户
100181,2,5,5,64,12,3607.11,成长客户
100182,4,3,4,25,7,2442.41,保持关系
100183,3,1,1,50,3,510.4,一般
100184,2,2,2,75,6,1118.97,预流失
100185,1,1,1,187,3,327.43,流失
100186,5,5,5,6,15,6402.06,高价值
100187,5,2,3,6,4,1556.25,成长客户
100188,3,4,5,38,10,3260.55,潜力客户
100189,5,2,4,5,6,2470.61,潜力客户
100190,1,2,1,140,5,551.2,流失
100191,3,4,3,53,9,1438.52,成长客户
100192,5,2,3,8,5,1382.56,成长客户
100193,1,1,1,205,2,427.19,流失
100194,4,1,1,19,2,426.98,一般
100195,3,4,4,33,9,2647.56,潜力客户
100196,2,4,5,70,10,3866.85,成长客户
100197,5,4,4,8,9,1927.49,高价值
100198,2,5,5,96,11,3781.35,成长客户
100199,3,4,5,39,10,4247.8099999999995,潜力客户
100200,5,5,5,10,11,3204.13,高价值
100201,1,1,1,236,1,567.24,流失
100202,4,4,5,21,10,3003.94,高价值
100203,1,1,1,319,2,639.16,流失
100204,5,5,5,4,19,6286.5,高价值
100205,3,1,1,35,1,202.54,一般
100207,4,3,2,25,7,850.9000000000001,保持关系
100208,4,3,3,20,8,1495.25,保持关系
100209,1,3,4,140,8,1961.5900000000001,成长客户
100210,1,1,1,207,1,84.97,流失
100211,4,5,4,20,14,2656.85,高价值
100212,1,1,1,274,3,311.19,流失
100213,1,1,1,149,2,153.05,流失
100214,3,1,2,48,3,684.4,一般
100215,2,2,3,79,4,1451.67,成长客户
100217,2,1,1,67,3,494.51,预流失
100218,4,5,4,28,15,2150.46,高价值
100219,4,2,2,13,6,1120.2,一般
100220,2,1,1,57,1,62.3,预流失
100221,4,5,5,14,15,3526.93,高价值
100222,2,2,2,55,6,705.62,预流失
100224,5,3,1,3,7,627.1,保持关系
100226,5,2,1,2,5,594.52,一般
100227,5,4,3,8,10,1383.8,保持关系
100228,3,5,5,42,11,2736.51,潜力客户
100229,5,3,2,10,8,1175.53,保持关系
100230,4,4,4,18,9,2092.83,高价值
100232,1,2,4,186,4,2020.96,成长客户
100233,1,2,2,103,6,871.03,流失
100234,4,5,4,14,11,2223.57,高价值
100236,4,4,3,14,10,1797.96,保持关系
100237,2,4,4,62,10,2699.78,成长客户
100238,3,1,1,31,3,279.03,一般
100239,2,1,1,65,1,44.14,预流失
100240,5,2,2,5,5,1095.24,一般
100241,3,2,3,45,6,1582.64,成长客户
100242,5,5,4,2,14,2604.68,高价值
100243,5,3,4,7,7,1899.28,保持关系
100244,1,1,1,231,1,580.79,流失
100245,3,2,1,47,5,457.87,一般
100247,4,1,1,15,3,458.52,一般
100248,4,5,5,18,11,2922.85,高价值
100249,3,2,3,34,4,1390.58,成长客户
100250,3,2,4,33,6,1999.49,潜力客户
100251,3,4,4,35,10,2429.5,潜力客户
100252,4,4,5,24,9,3324.45,高价值
100253,3,4,4,48,9,1918.81,潜力客户
100254,4,3,4,27,8,2430.65,保持关系
100257,3,5,5,38,17,3988.52,潜力客户
100258,2,5,5,62,15,3468.0099999999998,成长客户
100259,3,1,1,52,3,418.41,一般
100260,4,3,4,15,8,2232.81,保持关系
100261,4,5,4,24,11,2490.2200000000003,高价值
100263,4,5,5,13,12,3640.28,高价值
100265,1,2,1,101,4,476.46,流失
100266,3,5,5,45,14,3220.07,潜力客户
100267,3,3,4,49,7,1983.32,潜力客户
100268,1,1,1,173,2,202.66,流失
100269,2,3,4,83,7,2700.68,成长客户
100270,1,1,1,200,1,579.0,流失
100271,4,1,2,29,3,1190.25,一般
100272,1,1,1,349,2,156.53,流失
100273,5,5,3,9,12,1821.6299999999999,保持关系
100274,3,5,5,34,11,2868.8799999999997,潜力客户
100275,5,2,3,7,6,1564.59,成长客户
100276,2,5,4,92,11,2279.07,成长客户
100277,4,5,5,13,13,3310.45,高价值
100278,1,2,2,245,6,709.37,流失
100279,2,4,5,62,9,3651.68,成长客户
100280,4,2,2,24,5,1053.6399999999999,一般
100281,2,3,3,86,7,1600.63,成长客户
100282,1,3,2,162,7,852.47,成长客户
100283,4,5,5,13,16,4137.12,高价值
100284,1,2,4,112,6,1970.29,成长客户
100285,2,5,5,63,14,3750.94,成长客户
100286,1,1,1,129,1,560.97,流失
100287,2,1,2,76,3,689.1,预流失
100288,2,3,4,56,8,2307.62,成长客户
100289,3,3,2,43,7,953.4300000000001,成长客户
100290,4,4,4,26,9,2325.13,高价值
100291,5,2,4,2,6,2669.83,潜力客户
100292,2,3,3,57,7,1659.15,成长客户
100293,3,3,3,44,8,1850.74,成长客户
100294,2,5,4,59,12,2523.17,成长客户
100295,2,3,4,73,7,2388.09,成长客户
100296,2,2,2,80,6,1024.74,预流失
100297,2,4,4,76,9,2265.89,成长客户
100298,1,2,3,130,4,1308.8400000000001,成长客户
100299,1,1,1,353,1,249.47,流失
100300,4,5,5,19,11,3215.03,高价值
100301,4,5,5,26,17,3963.5299999999997,高价值
100302,4,2,2,25,4,1076.96,一般
100303,4,5,5,21,13,3561.54,高价值
100304,3,3,3,33,8,1396.07,成长客户
100305,4,5,4,18,14,2428.92,高价值
100306,5,2,3,6,6,1381.4,成长客户
100307,4,2,2,17,5,947.96,一般
100308,4,4,5,17,9,3720.65,高价值
100309,4,3,5,20,7,2926.88,保持关系
100310,2,3,3,70,8,1691.5,成长客户
100311,2,3,3,71,8,1782.86,成长客户
100312,5,2,2,6,6,848.74,一般
100313,3,2,3,48,6,1546.98,成长客户
100314,1,1,1,127,1,377.41,流失
100315,1,1,1,278,1,26.14,流失
100316,2,3,4,83,7,2042.4799999999998,成长客户
100317,5,3,4,12,7,1992.99,保持关系
100318,1,4,3,137,9,1518.36,成长客户
100319,3,2,2,43,4,1249.0,一般
100320,3,1,3,42,3,1449.56,成长客户
100322,3,1,2,46,2,1200.74,一般
100323,2,3,3,78,8,1528.33,成长客户
100325,4,5,5,22,12,4195.6,高价值
100326,3,5,5,35,12,4274.98,潜力客户
100327,5,4,3,9,10,1532.75,保持关系
100328,2,1,1,84,3,276.03999999999996,预流失
100329,2,4,2,72,9,1204.8,成长客户
100330,1,3,3,122,8,1373.99,成长客户
100331,1,2,4,107,5,2068.86,成长客户
100332,3,5,5,39,13,4313.2,潜力客户
100333,3,4,4,34,9,2318.26,潜力客户
100334,1,1,1,132,1,148.06,流失
100336,1,1,1,325,1,9.07,流失
100337,4,2,3,18,4,1289.1,成长客户
100338,4,3,2,15,8,1252.42,保持关系
100339,3,1,2,38,3,1105.6399999999999,一般
100340,2,2,1,66,4,547.87,预流失
100341,1,1,1,100,2,287.47,流失
100342,3,1,1,39,1,54.1,一般
100343,3,3,4,46,8,2670.79,潜力客户
100344,3,5,4,45,13,2691.83,潜力客户
100345,3,4,4,39,9,2336.79,潜力客户
100346,3,3,2,50,7,973.37,成长客户
100347,3,2,2,51,5,791.76,一般
100348,1,1,1,145,1,124.4,流失
100349,2,1,1,69,2,528.02,预流失
100350,5,5,4,11,11,2519.4900000000002,高价值
100351,4,4,5,17,9,4310.02,高价值
100352,1,1,3,120,2,1258.0700000000002,成长客户
100353,3,2,2,48,4,900.6899999999999,一般
100354,4,5,5,16,11,2727.33,高价值
100355,5,3,4,10,7,2035.68,保持关系
100356,2,3,4,58,8,1890.5,成长客户
100357,4,2,1,19,6,639.93,一般
100358,3,2,3,37,5,1489.46,成长客户
100359,3,3,4,49,8,2389.72,潜力客户
100360,2,5,5,80,11,3087.4,成长客户
100361,2,2,2,65,6,699.9200000000001,预流失
100362,3,1,1,32,1,200.53,一般
100363,2,4,4,61,10,2100.79,成长客户
100364,1,3,3,140,8,1725.81,成长客户
100365,1,1,2,212,2,898.7099999999999,流失
100367,4,3,4,19,7,2321.61,保持关系
100368,2,3,5,88,8,3210.8199999999997,成长客户
100369,1,2,2,116,4,934.22,流失
100370,4,3,3,19,8,1793.87,保持关系
100371,5,2,2,4,4,726.0,一般
100372,3,2,5,45,5,2739.86,潜力客户
100373,1,1,2,113,3,965.19,流失
100374,4,5,5,24,13,3096.2599999999998,高价值
100375,4,3,1,13,8,618.95,保持关系
100376,1,1,2,353,1,844.0,流失
100377,3,4,4,42,10,2231.07,潜力客户
100378,1,1,2,116,2,1054.34,流失
100379,5,4,4,8,9,2489.37,高价值
100380,3,2,4,44,6,2050.53,潜力客户
100381,4,3,5,16,8,3937.4500000000003,保持关系
100382,5,4,4,3,9,2519.12,高价值
100383,1,1,1,163,3,525.14,流失
100384,4,2,4,24,5,1961.23,潜力客户
100385,1,2,2,129,6,967.37,流失
100386,1,1,1,189,1,349.76,流失
100387,1,4,4,173,10,2404.27,成长客户
100388,5,3,4,5,7,2144.39,保持关系
100389,3,3,4,39,8,2018.04,潜力客户
100390,5,3,4,6,8,1910.36,保持关系
100391,1,1,1,267,1,158.75,流失
100392,3,2,1,40,4,565.54,一般
100393,3,2,2,37,5,1038.43,一般
100394,3,4,3,35,9,1427.8500000000001,成长客户
100395,2,4,3,67,9,1646.5,成长客户
100396,5,3,4,3,7,2030.02,保持关系
100397,4,4,4,15,10,2002.0900000000001,高价值
100398,2,2,2,61,6,1135.64,预流失
100399,3,2,1,31,5,460.83000000000004,一般
100400,4,5,5,24,11,2916.97,高价值
100401,2,2,1,73,5,509.52,预流失
100402,5,4,3,12,10,1742.28,保持关系
100403,4,3,4,22,7,1894.72,保持关系
100404,4,3,4,20,8,2438.44,保持关系
100406,4,5,4,15,12,2661.13,高价值
100407,4,1,1,19,2,127.67999999999999,一般
100408,1,1,1,213,3,219.68,流失
100409,5,2,2,11,4,723.28,一般
100410,4,5,5,27,15,5040.87,高价值
100411,2,3,4,77,8,2563.55,成长客户
100412,5,3,4,8,8,2519.65,保持关系
100413,3,3,2,34,7,923.46,成长客户
100414,5,4,5,5,10,3085.8199999999997,高价值
100415,4,1,1,14,2,222.06,一般
100416,4,2,2,18,5,1186.1100000000001,一般
100417,4,5,5,19,16,3994.11,高价值
100418,1,2,2,124,5,1151.94,流失
100419,2,4,4,60,10,2694.66,成长客户
100420,1,2,3,126,5,1599.73,成长客户
100421,2,2,4,84,4,2102.89,成长客户
100422,5,2,2,9,6,1173.53,一般
100423,2,2,1,63,6,467.02,预流失
100424,4,5,5,13,14,4868.22,高价值
100425,2,2,3,63,6,1274.56,成长客户
100426,3,3,5,49,8,3111.56,潜力客户
100427,2,1,1,70,2,259.07,预流失
100428,5,5,5,4,15,3719.82,高价值
100429,5,3,3,4,7,1279.57,保持关系
100430,4,4,5,17,10,2851.5,高价值
100431,3,4,4,38,9,2433.9300000000003,潜力客户
100432,1,3,4,124,7,1948.1100000000001,成长客户
100433,3,5,4,42,11,2634.05,潜力客户
100434,4,3,3,28,7,1454.84,保持关系
100435,3,4,3,42,10,1860.03,成长客户
100436,3,2,2,36,4,1206.29,一般
100438,3,3,3,40,8,1676.31,成长客户
100439,5,3,2,12,7,1177.32,保持关系
100440,5,2,2,3,5,764.28,一般
100441,1,1,2,176,3,996.98,流失
100442,4,5,5,23,11,2818.75,高价值
100443,4,3,4,20,7,2596.48,保持关系
100445,5,3,3,9,7,1343.96,保持关系
100446,2,2,2,83,6,762.81,预流失
100447,1,4,3,173,9,1655.82,成长客户
100448,2,4,5,65,9,5585.29,成长客户
100449,4,4,3,20,9,1411.16,保持关系
100450,4,4,3,14,9,1544.52,保持关系
100451,1,1,1,233,3,434.8,流失
100452,4,5,5,26,11,3668.57,高价值
100453,5,5,5,2,11,3477.21,高价值
100454,3,2,4,39,6,2214.27,潜力客户
100455,5,3,2,2,7,959.35,保持关系
100456,4,3,2,24,8,981.05,保持关系
100457,5,3,2,1,7,1205.38,保持关系
100458,2,1,1,75,3,143.98000000000002,预流失
100459,1,1,1,148,1,268.74,流失
100460,1,3,3,165,8,1665.81,成长客户
100461,4,3,3,25,8,1640.16,保持关系
100462,1,1,2,147,1,821.94,流失
100463,1,1,1,177,2,569.8,流失
100464,2,1,1,80,1,427.86,预流失
100465,5,3,2,5,7,1028.52,保持关系
100466,3,1,1,46,2,221.47,一般
100467,5,2,2,9,6,1252.76,一般
100468,1,1,1,328,1,105.54,流失
100469,4,5,5,25,13,4143.68,高价值
100470,1,2,1,132,5,662.5699999999999,流失
100471,1,1,1,212,1,66.74,流失
100472,4,3,5,22,8,3516.5699999999997,保持关系
100473,1,1,1,201,3,395.03000000000003,流失
100474,3,1,1,46,2,481.77,一般
100475,3,5,5,50,11,2852.37,潜力客户
100476,3,4,5,43,9,3795.5299999999997,潜力客户
100477,2,2,3,60,6,1313.96,成长客户
100479,3,4,4,40,10,2682.25,潜力客户
100480,5,5,4,8,13,2612.7,高价值
100481,4,4,4,29,10,2648.54,高价值
100482,3,4,5,49,9,2937.3199999999997,潜力客户
100483,1,2,3,116,6,1501.83,成长客户
100484,1,2,2,106,4,865.0899999999999,流失
100485,5,2,2,12,4,1248.76,一般
100486,1,2,4,133,5,2033.74,成长客户
100487,3,5,3,32,12,1657.6799999999998,成长客户
100488,2,3,4,90,8,1927.06,成长客户
100489,4,2,2,15,5,755.94,一般
100490,1,1,2,265,2,862.4000000000001,流失
100491,1,4,5,100,10,3351.73,成长客户
100492,5,5,4,4,12,2072.54,高价值
100493,5,2,1,5,5,349.70000000000005,一般
100494,5,5,4,1,15,2371.15,高价值
100495,4,3,3,19,7,1747.99,保持关系
100496,1,3,2,114,7,854.17,成长客户
100497,3,4,2,48,9,983.3199999999999,成长客户
100498,1,1,1,127,1,170.09,流失
100499,4,2,4,24,6,2638.29,潜力客户
100500,3,1,2,41,2,681.5500000000001,一般
100501,1,2,1,186,5,429.75,流失
100502,4,2,1,24,5,452.77,一般
100503,3,4,4,43,10,2293.09,潜力客户
100504,4,2,3,20,6,1385.51,成长客户
100505,4,5,5,25,15,5419.55,高价值
100506,1,1,1,189,3,187.64,流失
100507,3,4,4,44,9,2027.74,潜力客户
100508,4,5,5,22,12,2752.5099999999998,高价值
100509,3,2,3,39,6,1797.99,成长客户
100510,2,1,1,54,1,56.48,预流失
100511,2,2,3,89,4,1806.7,成长客户
100512,1,2,1,133,6,596.3199999999999,流失
100513,1,2,4,104,5,2275.73,成长客户
100514,4,4,3,27,10,1411.13,保持关系
100515,4,4,5,22,10,3364.46,高价值
100516,3,5,5,43,11,2845.57,潜力客户
100517,5,2,2,10,5,935.65,一般
100518,5,4,4,3,10,2217.4,高价值
100519,5,5,5,12,17,4694.82,高价值
100520,2,1,2,78,3,1006.86,预流失
100521,5,3,4,8,8,2526.34,保持关系
100522,4,2,3,23,6,1318.7,成长客户
100523,2,2,4,96,6,2459.4500000000003,成长客户
100524,1,2,2,172,4,688.71,流失
100525,3,2,3,35,6,1566.29,成长客户
100526,3,2,3,34,6,1306.21,成长客户
100527,3,4,3,33,10,1875.52,成长客户
100528,3,3,4,51,8,2660.67,潜力客户
100529,4,5,4,14,11,2084.34,高价值
100530,2,2,3,83,4,1263.88,成长客户
100531,1,3,3,141,8,1733.49,成长客户
100532,3,4,4,40,9,2284.68,潜力客户
100533,5,5,5,7,13,5206.0199999999995,高价值
100534,4,4,3,16,10,1674.49,保持关系
100535,3,3,3,41,8,1801.4,成长客户
100536,5,3,3,8,7,1806.38,保持关系
100537,3,2,1,46,4,569.76,一般
100539,5,5,4,6,13,2648.9399999999996,高价值
100540,2,1,2,75,3,1033.03,预流失
100541,1,1,1,168,3,542.05,流失
100542,4,2,1,23,5,634.5600000000001,一般
100543,3,3,4,46,8,2467.21,潜力客户
100544,5,1,1,8,3,599.9300000000001,一般
100545,2,5,5,94,11,3100.85,成长客户
100546,5,5,5,12,15,4934.83,高价值
100547,1,2,1,175,4,305.53,流失
100549,1,3,3,109,7,1574.4,成长客户
100550,1,1,1,172,2,92.91,流失
100552,3,5,5,30,13,5550.68,潜力客户
100553,2,1,1,86,3,241.04,预流失
100554,3,1,1,33,2,157.36,一般
100555,2,5,5,67,11,2953.75,成长客户
100556,3,5,4,32,12,2652.88,潜力客户
100557,5,5,5,4,14,3736.51,高价值
100558,1,2,3,145,5,1578.54,成长客户
100560,2,1,1,66,2,566.88,预流失
100561,2,1,1,57,3,476.74,预流失
100562,1,4,5,101,9,3566.56,成长客户
100564,2,1,2,94,3,824.06,预流失
100565,1,1,1,221,1,108.87,流失
100566,5,2,3,4,6,1550.0,成长客户
100567,4,4,4,24,9,1976.99,高价值
100568,5,1,1,4,3,511.42,一般
100569,5,5,5,3,15,3311.81,高价值
100570,5,5,5,10,16,4655.19,高价值
100571,4,3,5,21,8,3799.06,保持关系
100572,3,5,5,47,14,2770.89,潜力客户
100573,1,1,3,121,3,1576.0,成长客户
100574,3,4,3,52,9,1374.08,成长客户
100575,2,5,5,71,13,3491.12,成长客户
100576,3,2,3,48,5,1677.26,成长客户
100577,3,2,2,37,6,1056.0700000000002,一般
100578,2,4,4,63,9,1976.6999999999998,成长客户
100579,4,5,5,20,13,3088.06,高价值
100580,4,1,1,20,1,81.13,一般
100581,1,1,1,311,1,75.38,流失
100582,5,3,4,5,7,1950.72,保持关系
100583,4,3,2,21,7,837.75,保持关系
100584,3,5,5,34,17,6280.54,潜力客户
100585,5,5,3,5,11,1828.26,保持关系
100586,4,2,1,24,4,601.48,一般
100587,2,4,4,68,9,2554.56,成长客户
100588,5,5,4,4,11,2275.32,高价值
100589,1,1,1,219,1,74.23,流失
100590,3,1,2,48,2,1037.15,一般
100591,4,5,5,16,14,5327.07,高价值
100592,1,2,4,116,5,2034.16,成长客户
100593,2,2,5,89,6,3609.9400000000005,成长客户
100594,4,2,2,23,5,1133.89,一般
100595,5,5,4,11,11,2352.28,高价值
100597,1,1,2,197,2,667.38,流失
100598,2,4,4,66,10,1938.3400000000001,成长客户
100599,4,4,5,17,9,2743.41,高价值
100600,1,1,4,203,2,2135.64,成长客户
100601,1,1,1,268,1,516.26,流失
100602,3,5,5,36,14,4205.01,潜力客户
100603,4,2,2,14,5,809.3399999999999,一般
100604,3,4,3,49,10,1585.23,成长客户
100605,3,3,4,42,8,2093.85,潜力客户
100606,5,5,4,10,11,2454.65,高价值
100607,4,5,3,17,12,1730.09,保持关系
100608,4,3,2,16,7,986.73,保持关系
100609,5,5,5,2,16,4607.599999999999,高价值
100610,1,1,1,187,2,233.56,流失
100611,2,5,5,94,11,2773.34,成长客户
100612,1,1,2,101,3,849.29,流失
100614,5,4,5,7,9,2780.9500000000003,高价值
100615,3,2,1,52,5,617.01,一般
100616,1,1,1,339,1,112.93,流失
100617,4,5,5,16,12,2811.29,高价值
100618,2,3,4,59,8,2686.1,成长客户
100619,5,3,4,11,7,2452.18,保持关系
100620,1,3,3,121,7,1643.39,成长客户
100621,1,1,2,202,2,1152.5900000000001,流失
100622,2,1,2,66,3,821.48,预流失
100623,1,1,1,339,1,87.82,流失
100624,4,1,2,26,3,828.76,一般
100625,3,4,4,48,9,2157.24,潜力客户
100626,4,5,5,21,12,2899.98,高价值
100627,4,5,5,18,16,3386.99,高价值
100628,2,3,3,70,7,1569.87,成长客户
100630,5,4,5,5,9,3077.18,高价值
100631,3,4,3,37,9,1587.21,成长客户
100632,3,5,5,45,12,2824.43,潜力客户
100633,3,3,3,46,8,1569.51,成长客户
100634,5,2,3,1,4,1752.6,成长客户
100635,1,1,1,168,2,141.09,流失
100636,3,3,3,53,8,1635.55,成长客户
100637,4,5,5,23,14,3637.3,高价值
100638,3,2,3,48,6,1738.8899999999999,成长客户
100639,5,5,3,2,14,1627.99,保持关系
100640,3,4,3,38,9,1339.18,成长客户
100641,3,3,4,30,8,2663.84,潜力客户
100642,5,5,5,8,16,4936.87,高价值
100643,2,2,3,83,4,1772.9199999999998,成长客户
100644,1,2,2,193,4,1127.65,流失
100645,2,2,2,85,4,1041.71,预流失
100646,3,2,3,36,5,1272.25,成长客户
100647,2,4,5,99,10,3981.23,成长客户
100649,2,1,3,85,3,1559.33,成长客户
100650,3,5,5,34,13,3903.94,潜力客户
100651,4,2,2,19,4,919.06,一般
100652,4,5,4,20,11,2368.63,高价值
100653,1,1,1,128,2,112.93,流失
